customer_city,order_purchase_date,Total_sales
Almenara,2018-06-04,53.98
Almenara,2018-06-13,226.24
Almenara,2018-07-17,68.22
Almenara,2018-07-24,115.0
Almenara,2018-07-29,314.40999999999997
Almino Afonso,2017-10-15,246.03
Almino Afonso,2017-11-24,173.39000000000001
Almino Afonso,2018-08-06,115.02000000000001
Almirante Tamandare,2017-03-22,530.34
Almirante Tamandare,2017-04-08,250.54
Almirante Tamandare,2017-05-18,219.67000000000002
Almirante Tamandare,2017-05-19,234.8
Almirante Tamandare,2017-05-29,67.5
Almirante Tamandare,2017-06-13,706.6
Almirante Tamandare,2017-07-01,154.72
Almirante Tamandare,2017-07-18,28.09
Almirante Tamandare,2017-08-28,70.97999999999999
Almirante Tamandare,2017-09-29,124.42
Almirante Tamandare,2017-10-01,147.69
Almirante Tamandare,2017-10-05,142.13
Almirante Tamandare,2017-11-15,83.77
Almirante Tamandare,2017-11-25,100.17999999999999
Almirante Tamandare,2017-12-04,40.230000000000004
Almirante Tamandare,2017-12-08,253.65
Almirante Tamandare,2017-12-09,33.37
Almirante Tamandare,2018-01-27,530.34
Almirante Tamandare,2018-02-04,29.0
Almirante Tamandare,2018-02-09,22.71
Almirante Tamandare,2018-03-03,221.22
Almirante Tamandare,2018-04-02,283.61
Almirante Tamandare,2018-04-04,110.12
Almirante Tamandare,2018-04-14,820.35
Almirante Tamandare,2018-05-10,167.11
Almirante Tamandare,2018-05-14,116.43
Almirante Tamandare,2018-06-02,44.089999999999996
Almirante Tamandare,2018-06-26,253.65
Almirante Tamandare,2018-07-01,39.22
Almirante Tamandare,2018-07-03,262.93
Almirante Tamandare,2018-07-13,59.64
Almirante Tamandare,2018-07-23,26.07
Almirante Tamandare,2018-08-02,99.36
Almirante Tamandare,2018-08-04,171.48
Alpercata,2017-12-22,53.9
Alpercata,2018-06-09,40.87
Alpestre,2017-11-16,136.98000000000002
Alpinopolis,2017-02-01,30.1
Alpinopolis,2017-02-06,89.17
Alpinopolis,2017-04-23,41.21
Alpinopolis,2017-05-21,75.16
Alpinopolis,2017-07-24,136.71
Alpinopolis,2017-08-07,57.510000000000005
Alpinopolis,2018-05-09,209.12
Alpinopolis,2018-05-16,82.58000000000001
Alpinopolis,2018-06-16,60.42
Alpinopolis,2018-07-24,231.27
Alpinopolis,2018-08-13,123.73
Alta Floresta,2017-01-08,106.97
Alta Floresta,2017-01-20,69.49
Alta Floresta,2017-02-05,128.07
Alta Floresta,2017-02-24,58.18
Alta Floresta,2017-07-21,268.18
Alta Floresta,2017-08-09,186.03
Alta Floresta,2017-09-22,79.11
Alta Floresta,2017-09-27,107.0
Alta Floresta,2018-01-28,319.41
Alta Floresta,2018-04-23,60.49
Alta Floresta,2018-04-25,202.47000000000003
